LIMIT_BAL,discrete(3)	SEX,discrete(3)	EDUCATION,discrete(3)	MARRIAGE,discrete(3)	AGE,discrete(3)	PAY_0,discrete(3)	PAY_2,discrete(3)	PAY_3,discrete(3)	PAY_4,discrete(3)	PAY_5,discrete(3)	PAY_6,discrete(3)	BILL_AMT1,discrete(3)	BILL_AMT2,discrete(3)	BILL_AMT3,discrete(3)	BILL_AMT4,discrete(3)	BILL_AMT5,discrete(3)	BILL_AMT6,discrete(3)	PAY_AMT1,discrete(3)	PAY_AMT2,discrete(3)	PAY_AMT3,discrete(3)	PAY_AMT4,discrete(3)	PAY_AMT5,discrete(3)	PAY_AMT6,discrete(3)	Default,discrete(3)
sample-5365	0	0	2	2	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	1	2
sample-5366	0	0	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	2	0	0
sample-5367	1	1	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	2	2	0	2	2	2	0
sample-5368	1	1	1	0	2	0	0	1	1	1	2	1	1	1	2	2	2	1	1	1	2	0	1	0
sample-5369	2	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5370	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	2	2	2	2	2	2	0
sample-5371	0	0	2	0	2	2	2	2	2	2	2	0	0	1	1	1	1	0	1	0	0	1	1	2
sample-5372	2	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	2	0
sample-5373	1	0	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5374	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0
sample-5375	2	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	2	2	2	2	2	2	0
sample-5376	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	0
sample-5377	2	1	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	2	1	0	2	2	2	0
sample-5378	1	0	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0
sample-5379	1	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0
sample-5380	0	0	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
sample-5381	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
sample-5382	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0
sample-5383	0	0	0	1	0	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2
sample-5384	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5385	0	1	1	0	2	0	0	2	0	0	0	0	0	0	1	0	0	2	0	2	2	1	1	0
sample-5386	0	1	2	0	2	2	0	0	0	0	0	0	1	1	1	0	0	2	2	2	2	0	2	2
sample-5387	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	2	2	2	1	0	0	2
sample-5388	0	0	2	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	2
sample-5389	1	1	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	0
sample-5390	1	0	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
sample-5391	1	1	2	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5392	1	0	1	1	0	2	0	1	1	2	2	1	1	1	1	1	1	1	1	1	0	2	0	2
sample-5393	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0
sample-5394	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	2	2	2	0	1	1	0
sample-5395	2	1	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	2	0	2	1	0
sample-5396	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	0
sample-5397	2	0	1	0	2	0	0	1	1	1	1	2	2	2	2	2	1	2	2	2	1	1	1	0
sample-5398	0	1	0	1	0	2	2	2	1	1	2	1	1	1	1	1	1	1	0	0	1	0	1	2
sample-5399	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2
sample-5400	2	1	1	1	2	0	0	0	1	1	0	1	1	2	2	0	0	2	2	2	0	0	0	0
sample-5401	2	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	1	2	2	0	2	2	2	0
sample-5402	0	0	0	1	1	0	0	1	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0
sample-5403	1	0	2	0	1	0	0	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	0
sample-5404	1	1	2	0	1	0	0	2	2	2	2	1	1	1	1	1	1	1	0	0	1	0	1	2
sample-5405	1	1	2	1	0	0	0	2	1	1	1	0	1	1	1	1	1	2	0	0	1	1	1	0
sample-5406	0	1	0	1	0	0	0	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	0
sample-5407	2	0	0	0	2	0	0	1	1	0	0	2	2	2	2	0	0	2	2	2	2	0	1	0
sample-5408	0	1	2	1	1	0	0	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	0
sample-5409	1	0	2	0	2	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0	2	0	0	0
sample-5410	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sample-5411	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5412	0	0	1	2	2	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	0
sample-5413	2	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	1	0	1	0
sample-5414	2	1	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5415	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	0
sample-5416	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-5417	2	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5418	1	0	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5419	0	0	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2
sample-5420	1	0	0	1	1	0	0	1	1	1	1	0	1	2	2	1	0	2	2	2	2	2	1	0
sample-5421	0	1	2	0	2	0	0	1	1	1	0	2	1	1	1	1	1	2	1	2	1	2	0	0
sample-5422	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2
sample-5423	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0
sample-5424	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5425	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	2	2
sample-5426	0	1	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	2	2	2
sample-5427	0	1	2	0	2	0	0	2	1	1	1	1	1	1	1	1	1	2	0	0	1	1	1	0
sample-5428	1	0	1	0	2	0	0	2	2	2	1	1	1	1	1	1	1	1	0	1	0	1	1	0
sample-5429	1	0	2	1	2	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	1	0
sample-5430	1	1	1	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0
sample-5431	1	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-5432	0	0	1	1	0	0	0	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	2	0
sample-5433	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	2	2	2	2	0
sample-5434	1	0	2	0	2	2	0	1	0	0	0	1	1	1	0	0	0	1	2	2	0	1	0	2
sample-5435	2	1	1	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5436	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
sample-5437	2	1	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5438	0	0	2	1	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	2	0
sample-5439	1	1	1	0	2	2	2	2	2	2	1	1	1	1	1	1	1	0	1	0	0	1	1	0
sample-5440	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0
sample-5441	2	1	1	0	2	0	0	0	0	0	0	1	1	1	1	0	0	2	2	2	2	2	1	0
sample-5442	1	0	2	1	0	0	0	1	1	1	1	2	2	2	2	1	1	2	1	2	1	0	0	0
sample-5443	0	0	0	0	2	0	0	1	1	1	1	0	0	1	1	1	0	0	2	0	0	0	0	0
sample-5444	1	0	1	0	2	2	2	2	2	1	1	2	2	2	2	2	2	0	2	0	2	2	2	2
sample-5445	0	0	1	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0
sample-5446	0	1	2	0	1	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
sample-5447	2	1	0	0	0	0	0	0	1	1	1	1	1	2	2	2	2	0	2	2	2	2	2	0
sample-5448	0	0	0	1	2	0	0	1	1	1	1	1	2	1	1	1	1	1	1	0	0	0	0	0
sample-5449	2	0	0	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5450	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
sample-5451	0	1	1	0	1	2	2	2	2	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0
sample-5452	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	2
sample-5453	0	0	1	2	2	0	0	1	1	1	0	2	2	1	1	1	1	1	1	0	1	2	1	0
sample-5454	0	1	2	1	1	0	0	1	2	2	2	1	1	1	2	2	2	1	2	1	0	2	0	0
sample-5455	0	1	1	1	0	2	2	2	2	1	1	2	2	2	2	2	2	1	1	0	1	2	2	2
sample-5456	1	0	0	1	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5457	1	1	2	0	0	2	2	2	2	1	0	2	2	2	2	1	0	0	0	0	1	2	0	2
sample-5458	1	0	1	1	1	2	2	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	2
sample-5459	2	0	2	0	2	0	0	0	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	0
sample-5460	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0
sample-5461	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5462	2	0	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5463	0	1	1	1	0	0	2	2	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	0
sample-5464	1	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-5465	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
sample-5466	0	0	1	0	1	2	2	2	2	1	1	2	2	1	1	1	1	0	1	0	1	1	1	2
sample-5467	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5468	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-5469	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
sample-5470	1	0	1	1	0	0	0	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	0
sample-5471	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2
sample-5472	0	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	0	0	1	0	0	2
sample-5473	2	0	0	1	1	0	0	1	1	1	1	1	1	1	1	2	2	0	1	1	2	1	1	0
sample-5474	2	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	0	2	2	2
sample-5475	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	0
sample-5476	0	1	1	0	2	2	2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0
sample-5477	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-5478	2	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0
sample-5479	2	1	0	1	1	0	0	1	1	1	1	2	2	2	1	2	1	1	2	1	2	1	2	0
sample-5480	0	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-5481	1	1	1	0	1	0	0	1	1	1	0	1	2	1	1	1	2	2	2	2	2	2	2	0
sample-5482	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5483	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
sample-5484	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	2	1	1	0
sample-5485	0	0	2	1	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	2
sample-5486	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	2	0
sample-5487	0	0	0	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0	1	0	1	0	1	2
sample-5488	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
sample-5489	1	0	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5490	2	0	0	1	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5491	0	0	1	1	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0
sample-5492	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sample-5493	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	0	0
sample-5494	2	0	0	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5495	1	1	0	1	1	0	0	2	1	1	2	1	1	0	0	0	1	1	0	0	1	0	1	0
sample-5496	2	1	2	0	2	0	0	1	0	0	0	2	2	2	1	1	2	2	2	2	2	2	1	0
sample-5497	0	0	2	0	2	0	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
sample-5498	1	0	0	1	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0
sample-5499	2	1	0	0	1	0	0	0	0	0	0	1	1	2	2	2	2	1	2	2	2	2	2	0
sample-5500	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5501	2	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2
sample-5502	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	0
sample-5503	0	1	0	1	1	0	0	0	0	0	2	1	0	1	0	1	0	2	2	2	2	0	2	0
sample-5504	2	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	2	2	2	0	2	0
sample-5505	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-5506	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0
sample-5507	1	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5508	0	0	2	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	1	0
sample-5509	2	0	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5510	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	2	0
sample-5511	0	0	0	1	1	0	0	1	1	2	2	1	1	2	1	1	1	1	1	2	0	1	0	0
sample-5512	1	1	2	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-5513	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
sample-5514	2	1	0	1	2	0	0	1	0	0	2	2	0	1	1	0	0	2	2	2	2	0	2	0
sample-5515	0	1	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2
sample-5516	1	1	0	1	0	2	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	0
sample-5517	2	0	0	1	1	0	0	1	1	2	1	2	2	2	2	2	2	2	2	2	0	2	2	0
sample-5518	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-5519	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sample-5520	0	0	2	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0
sample-5521	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
sample-5522	0	1	1	1	0	0	0	2	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	0
sample-5523	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	2	2	2	2	2	2	2	0
sample-5524	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0
sample-5525	1	0	1	0	2	0	0	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	0
sample-5526	2	0	0	0	1	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	0
sample-5527	0	0	2	0	2	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0
sample-5528	0	1	0	1	0	0	0	0	2	1	1	0	2	2	1	1	1	2	1	0	1	1	1	0
sample-5529	1	0	2	1	1	0	0	1	1	0	0	2	2	1	1	0	0	2	0	0	1	0	0	0
sample-5530	0	1	1	0	0	0	0	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0
sample-5531	1	1	1	1	0	2	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	2	2	0
sample-5532	2	0	0	1	1	0	0	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5533	2	0	0	1	1	0	0	0	0	0	0	2	2	2	2	2	2	2	1	1	1	1	1	2
sample-5534	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
sample-5535	1	1	0	0	2	0	0	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	0
sample-5536	0	1	1	1	0	0	0	2	1	1	2	0	0	1	1	1	1	1	0	0	1	0	1	0
sample-5537	1	0	1	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	0
sample-5538	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
sample-5539	2	0	0	0	1	0	0	0	0	0	0	1	2	1	1	2	1	2	2	2	2	2	2	0
sample-5540	0	1	0	1	0	0	0	1	2	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
sample-5541	0	0	2	0	0	2	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	0
sample-5542	2	0	1	1	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	1	0
sample-5543	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5544	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
sample-5545	0	1	2	0	2	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0
sample-5546	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0
sample-5547	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
sample-5548	2	1	1	1	0	0	0	1	1	0	0	2	2	2	2	0	0	2	2	1	1	2	2	0
sample-5549	0	0	1	1	0	2	2	1	1	1	1	2	2	2	1	1	1	0	1	0	1	1	1	0
sample-5550	1	0	2	0	2	0	0	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	0
sample-5551	0	0	1	0	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0
sample-5552	0	0	1	1	0	2	0	1	1	1	1	0	0	0	0	1	1	2	1	1	1	1	0	0
sample-5553	2	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
sample-5554	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0
sample-5555	1	1	2	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	2	0	2	2	0
sample-5556	0	1	1	1	1	0	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	0
sample-5557	1	1	1	1	0	2	2	1	1	1	1	2	2	2	2	2	2	0	2	1	1	1	1	2
sample-5558	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
sample-5559	1	0	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	0
sample-5560	1	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	0
sample-5561	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	2	1	2	2	2
sample-5562	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-5563	2	1	0	1	0	0	0	0	1	1	1	0	0	2	2	2	2	1	2	2	2	2	2	0
sample-5564	1	1	2	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
sample-5565	2	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
sample-5566	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	0
sample-5567	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
sample-5568	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-5569	1	1	1	0	1	0	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	0
sample-5570	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	2	1	0	0	0	0	0
sample-5571	1	1	1	0	0	2	2	2	2	2	2	1	1	1	1	1	2	1	0	1	0	1	1	2
sample-5572	1	1	1	0	2	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5573	2	1	0	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5574	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	2
sample-5575	2	1	2	1	1	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	0
sample-5576	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
sample-5577	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	2	1	1	0
sample-5578	1	1	2	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
sample-5579	0	1	2	0	2	2	2	2	2	2	2	1	1	1	1	1	1	1	0	2	0	1	0	2
sample-5580	2	0	0	0	2	2	2	1	1	1	1	2	2	2	2	2	2	0	1	1	1	1	1	0
sample-5581	2	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	2	2	2	2	2	0	0
sample-5582	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
sample-5583	0	0	0	1	0	0	0	2	1	1	1	2	2	2	1	1	1	2	0	1	1	1	0	0
sample-5584	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	1	0
sample-5585	2	0	2	0	2	0	0	1	1	1	0	2	2	2	2	1	0	2	2	2	0	0	0	0
sample-5586	1	1	1	1	0	0	0	1	1	1	1	2	2	2	2	2	2	1	2	2	2	2	2	0
sample-5587	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
sample-5588	0	1	2	1	0	0	0	1	1	1	1	2	2	2	1	1	0	2	1	0	1	1	2	0
sample-5589	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
sample-5590	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
sample-5591	0	1	2	1	2	0	0	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
sample-5592	0	0	1	0	2	2	2	2	2	2	2	1	1	1	1	1	1	1	0	1	1	0	1	0
sample-5593	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5594	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5595	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5596	2	1	0	1	2	0	0	0	1	1	0	1	1	2	1	1	2	2	2	2	0	2	0	0
sample-5597	0	1	1	0	2	0	0	1	1	0	0	1	1	1	1	1	0	1	1	2	2	0	2	2
sample-5598	2	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0
sample-5599	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sample-5600	0	1	1	0	0	2	0	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	0	2
sample-5601	0	1	1	1	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	0	1	0	1	0
sample-5602	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0
sample-5603	2	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5604	0	0	1	1	0	0	0	1	2	1	1	2	2	2	2	2	2	1	2	0	1	2	1	2
sample-5605	2	1	0	0	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0
sample-5606	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
sample-5607	2	1	1	1	1	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	2	0
sample-5608	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample-5609	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0
sample-5610	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2
sample-5611	0	0	1	1	1	0	0	1	1	1	1	2	2	2	2	2	0	1	1	1	1	0	0	0
sample-5612	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
sample-5613	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
sample-5614	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
sample-5615	2	1	1	1	1	0	0	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	0
sample-5616	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	2	0	0	0	1	1	1	0
